DATE,EXPGS
2013-01-01,2255.929
2013-04-01,2261.403
2013-07-01,2285.116
2013-10-01,2349.24
2014-01-01,2343.602
2014-04-01,2395.168
2014-07-01,2399.191
2014-10-01,2376.218
2015-01-01,2299.045
2015-04-01,2300.441
2015-07-01,2260.724
2015-10-01,2222.279
2016-01-01,2181.957
2016-04-01,2221.936
2016-07-01,2270.0
2016-10-01,2268.339
2017-01-01,2339.728
2017-04-01,2349.681
2017-07-01,2384.524
2017-10-01,2479.107
2018-01-01,2517.268
2018-04-01,2562.172
2018-07-01,2535.501
2018-10-01,2537.415
2019-01-01,2540.244
2019-04-01,2547.448
2019-07-01,2532.405
2019-10-01,2537.466
2020-01-01,2416.181
2020-04-01,1814.401
2020-07-01,2105.083
2020-10-01,2268.891
2021-01-01,2381.224
2021-04-01,2505.032
2021-07-01,2570.103
2021-10-01,2765.36
2022-01-01,2848.698
2022-04-01,3071.551
2022-07-01,3102.55
2022-10-01,3046.718
